Time [s],CLK,A13,A14,A15,MODE0,MODE1,IOM,POWER,STATE0,STATE1,ROM0_CS,RAM0_CS,RAM1_CS,BSRE,ROM1_CS,RDY
29.410164200,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.415203000,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.420270800,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.422337600,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.422345600,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.424394000,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.429435400,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.434476200,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.439544800,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.441618800,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.443668800,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.448708400,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.453748000,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.458814200,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.460871200,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.460879800,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.460887800,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.462936600,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.467975800,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.472982000,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.478049000,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.480122600,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.482173000,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.487212400,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.492252000,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.497321800,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.499387400,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.499395400,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.501445600,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.506485200,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.511526800,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.516592400,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.518665000,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.520713800,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.525755800,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.530796400,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.535866200,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.537883000,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.537891000,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.537899200,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.539948800,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.544990000,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.550031800,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.555100000,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.557173400,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.559223600,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.564263200,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.569302400,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.574373400,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.576442800,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.576450800,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
